Start date;End date;Biomass [MWh] Calculated resolutions;Hydropower [MWh] Calculated resolutions;Wind offshore [MWh] Calculated resolutions;Wind onshore [MWh] Calculated resolutions;Photovoltaics [MWh] Calculated resolutions;Other renewable [MWh] Calculated resolutions;Nuclear [MWh] Calculated resolutions;Lignite [MWh] Calculated resolutions;Hard coal [MWh] Calculated resolutions;Fossil gas [MWh] Calculated resolutions;Hydro pumped storage [MWh] Calculated resolutions;Other conventional [MWh] Calculated resolutions
Jan 1, 2023 12:00 AM;Jan 1, 2023 1:00 AM;4,014.25;1,275.25;3,059.25;28,947.25;1.75;116.50;2,459.50;3,859.25;2,067.50;1,593.75;125.25;1,880.00
Jan 1, 2023 1:00 AM;Jan 1, 2023 2:00 AM;3,993.25;1,226.50;3,586.00;29,587.50;2.00;117.50;2,458.75;3,866.50;2,052.00;1,437.00;302.50;1,847.50
Jan 1, 2023 2:00 AM;Jan 1, 2023 3:00 AM;3,967.25;1,222.50;3,842.25;29,514.75;1.75;117.50;2,459.75;3,860.25;2,034.25;1,435.00;141.50;1,782.75
Jan 1, 2023 3:00 AM;Jan 1, 2023 4:00 AM;3,973.00;1,223.25;3,463.25;27,493.50;2.00;117.00;2,460.50;3,864.75;2,037.00;1,432.50;96.25;1,791.00
Jan 1, 2023 4:00 AM;Jan 1, 2023 5:00 AM;3,996.50;1,244.00;3,462.25;26,939.00;2.25;117.00;2,461.00;3,841.00;2,040.25;1,430.75;188.25;1,819.00
Jan 1, 2023 5:00 AM;Jan 1, 2023 6:00 AM;4,018.00;1,226.75;3,340.00;27,359.75;2.50;116.50;2,465.25;3,804.00;2,036.50;1,426.00;143.50;1,810.50
Jan 1, 2023 6:00 AM;Jan 1, 2023 7:00 AM;4,058.25;1,223.25;3,268.50;27,324.50;2.00;115.75;2,464.25;3,801.50;2,033.00;1,428.00;94.50;1,815.25
Jan 1, 2023 7:00 AM;Jan 1, 2023 8:00 AM;4,116.75;1,285.75;3,479.75;27,718.00;2.25;116.00;2,464.25;3,830.50;2,031.00;1,426.75;176.00;1,826.75
Jan 1, 2023 8:00 AM;Jan 1, 2023 9:00 AM;4,170.50;1,224.75;3,117.50;26,940.50;506.75;115.50;2,462.75;3,788.75;2,037.25;1,426.25;87.00;1,839.00
Jan 1, 2023 9:00 AM;Jan 1, 2023 10:00 AM;4,199.25;1,232.00;3,467.75;25,664.75;3,320.75;114.25;2,466.25;3,786.50;2,028.00;1,424.25;55.25;1,818.00
Jan 1, 2023 10:00 AM;Jan 1, 2023 11:00 AM;4,212.75;1,361.25;3,396.25;24,434.25;6,353.25;114.00;2,464.00;3,808.25;1,997.50;1,420.50;216.00;1,774.00
Jan 1, 2023 11:00 AM;Jan 1, 2023 12:00 PM;4,215.00;1,310.00;3,599.50;23,419.50;8,440.75;114.00;2,461.75;3,824.75;2,005.25;1,423.25;191.25;1,789.75
Jan 1, 2023 12:00 PM;Jan 1, 2023 1:00 PM;4,173.00;1,268.00;3,628.25;21,823.50;8,854.50;116.00;2,458.50;3,834.25;2,021.00;1,427.50;487.25;1,800.75
Jan 1, 2023 1:00 PM;Jan 1, 2023 2:00 PM;4,168.50;1,245.50;4,063.75;20,563.50;7,771.75;116.50;2,456.00;4,018.75;2,046.50;1,425.25;286.00;1,830.50
Jan 1, 2023 2:00 PM;Jan 1, 2023 3:00 PM;4,144.00;1,253.50;6,562.00;20,704.75;4,975.25;116.25;2,453.75;4,070.25;2,048.00;1,427.00;558.75;1,838.00
Jan 1, 2023 3:00 PM;Jan 1, 2023 4:00 PM;4,262.00;1,219.25;6,701.00;22,292.00;1,786.50;117.25;2,449.50;4,097.50;2,081.50;1,428.00;899.50;1,870.25
Jan 1, 2023 4:00 PM;Jan 1, 2023 5:00 PM;4,368.00;1,261.75;6,658.75;20,976.75;105.25;117.25;2,452.00;4,283.75;2,450.25;1,529.50;2,176.75;1,825.50
Jan 1, 2023 5:00 PM;Jan 1, 2023 6:00 PM;4,458.25;1,249.50;6,555.00;19,934.75;3.25;118.00;2,456.75;4,290.75;2,237.75;1,506.50;2,839.50;1,839.25
Jan 1, 2023 6:00 PM;Jan 1, 2023 7:00 PM;4,454.25;1,213.25;6,180.00;19,641.50;2.00;119.50;2,457.25;4,602.00;2,361.75;1,571.50;3,054.50;1,863.50
Jan 1, 2023 7:00 PM;Jan 1, 2023 8:00 PM;4,413.75;1,215.00;6,006.25;19,284.00;2.00;122.75;2,458.75;4,513.25;2,377.50;1,550.50;2,418.00;1,827.75
Jan 1, 2023 8:00 PM;Jan 1, 2023 9:00 PM;4,341.50;1,195.50;5,592.75;19,647.00;2.25;120.75;2,462.25;4,456.00;2,196.50;1,578.00;1,269.00;1,882.75
